Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2021","2021","°c","0.82","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2022","2022","°c","1.02","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2023","2023","°c","1.972","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1961","1961","°c","1.396","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1962","1962","°c","-0.949","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1963","1963","°c","-2.56","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1964","1964","°c","0.059","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1965","1965","°c","-3.059","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1966","1966","°c","2.874","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1967","1967","°c","0.014","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1968","1968","°c","1.164","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1969","1969","°c","-1.114","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1970","1970","°c","-0.145","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1971","1971","°c","-0.273","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1972","1972","°c","1.497","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1973","1973","°c","-0.732","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1974","1974","°c","1.431","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1975","1975","°c","-0.229","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1976","1976","°c","0.427","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1977","1977","°c","2.264","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1978","1978","°c","-0.097","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1979","1979","°c","0.802","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1980","1980","°c","0.564","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1981","1981","°c","-1.471","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1982","1982","°c","-0.95","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1983","1983","°c","-2.103","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1984","1984","°c","-1.321","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1985","1985","°c","-0.458","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1986","1986","°c","-2.035","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1987","1987","°c","0.001","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1988","1988","°c","0.29","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1989","1989","°c","1.464","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1990","1990","°c","3.118","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1991","1991","°c","-1.441","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1992","1992","°c","0.036","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1993","1993","°c","-0.902","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1994","1994","°c","0.215","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1995","1995","°c","2.312","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1996","1996","°c","-1.023","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1997","1997","°c","1.689","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1998","1998","°c","2.239","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","1999","1999","°c","-1.141","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2000","2000","°c","0.938","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2001","2001","°c","1.179","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2002","2002","°c","2.277","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2003","2003","°c","-2.465","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2004","2004","°c","0.625","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2005","2005","°c","-2.196","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2006","2006","°c","-0.223","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2007","2007","°c","2.479","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2008","2008","°c","0.982","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2009","2009","°c","-0.506","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2010","2010","°c","0.4","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2011","2011","°c","0.674","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2012","2012","°c","-2.493","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2013","2013","°c","-1.064","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2014","2014","°c","2.732","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2015","2015","°c","0.142","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2016","2016","°c","2.952","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2017","2017","°c","2.446","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2018","2018","°c","-0.856","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2019","2019","°c","1.571","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2020","2020","°c","2.928","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2021","2021","°c","2.465","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2022","2022","°c","1.804","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7002","February","2023","2023","°c","1.266","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1961","1961","°c","1.433","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1962","1962","°c","-1.816","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1963","1963","°c","-0.92","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1964","1964","°c","0.256","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1965","1965","°c","-0.165","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1966","1966","°c","-0.637","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1967","1967","°c","1.136","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1968","1968","°c","0.293","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1969","1969","°c","-0.123","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1970","1970","°c","-1.065","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1971","1971","°c","-2.615","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1972","1972","°c","1.735","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1973","1973","°c","-1.437","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1974","1974","°c","0.84","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1975","1975","°c","0.069","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1976","1976","°c","-1.093","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1977","1977","°c","2.144","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1978","1978","°c","0.587","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1979","1979","°c","1.061","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1980","1980","°c","-0.011","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1981","1981","°c","1.737","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1982","1982","°c","-0.855","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1983","1983","°c","0.429","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1984","1984","°c","-1.233","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1985","1985","°c","-0.608","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1986","1986","°c","0.017","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1987","1987","°c","-2.994","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1988","1988","°c","-0.288","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1989","1989","°c","2.527","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1990","1990","°c","2.094","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1991","1991","°c","2.394","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1992","1992","°c","0.601","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1993","1993","°c","-0.661","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1994","1994","°c","2.999","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1995","1995","°c","-0.507","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1996","1996","°c","-0.872","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1997","1997","°c","1.738","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1998","1998","°c","-0.009","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","1999","1999","°c","0.898","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2000","2000","°c","1.134","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2001","2001","°c","3.436","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2002","2002","°c","2.41","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2003","2003","°c","0.749","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2004","2004","°c","-0.08","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2005","2005","°c","0.13","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2006","2006","°c","-0.183","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2007","2007","°c","1.61","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2008","2008","°c","1.028","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2009","2009","°c","0.671","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2010","2010","°c","0.468","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2011","2011","°c","0.863","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2012","2012","°c","2.501","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2013","2013","°c","0.535","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2014","2014","°c","1.769","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2015","2015","°c","1.174","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2016","2016","°c","1.125","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2017","2017","°c","2.748","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2018","2018","°c","0.651","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2019","2019","°c","2.149","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2020","2020","°c","1.22","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2021","2021","°c","0.676","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2022","2022","°c","0.164","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7003","March","2023","2023","°c","2.179","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1961","1961","°c","2.745","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1962","1962","°c","0.316","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1963","1963","°c","0.646","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1964","1964","°c","0.655","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1965","1965","°c","-1","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1966","1966","°c","1.336","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1967","1967","°c","-0.497","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1968","1968","°c","1.796","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1969","1969","°c","-0.24","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1970","1970","°c","-0.37","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1971","1971","°c","1.161","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1972","1972","°c","0.185","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1973","1973","°c","-1.822","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1974","1974","°c","-0.602","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1975","1975","°c","0.034","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1976","1976","°c","-0.414","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1977","1977","°c","-0.188","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1978","1978","°c","-1.026","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1979","1979","°c","-1.289","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1980","1980","°c","-1.839","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1981","1981","°c","1.067","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1982","1982","°c","-0.539","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1983","1983","°c","0.879","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1984","1984","°c","-0.809","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1985","1985","°c","0.529","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1986","1986","°c","0.217","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1987","1987","°c","0.491","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1988","1988","°c","0.78","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1989","1989","°c","0.615","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1990","1990","°c","-0.143","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1991","1991","°c","-1.043","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1992","1992","°c","0.506","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1993","1993","°c","0.731","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1994","1994","°c","-0.15","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1995","1995","°c","0.096","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1996","1996","°c","0.757","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1997","1997","°c","-1.131","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1998","1998","°c","0.918","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","1999","1999","°c","0.918","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2000","2000","°c","1.764","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2001","2001","°c","0.068","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2002","2002","°c","0.879","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2003","2003","°c","0.384","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2004","2004","°c","0.725","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2005","2005","°c","0.41","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2006","2006","°c","1.697","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2007","2007","°c","3.134","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2008","2008","°c","1.058","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2009","2009","°c","1.798","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2010","2010","°c","1.453","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2011","2011","°c","2.457","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2012","2012","°c","1.197","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2013","2013","°c","1.997","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2014","2014","°c","1.816","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2015","2015","°c","1.306","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2016","2016","°c","2.756","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2017","2017","°c","1.541","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2018","2018","°c","3.716","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2019","2019","°c","1.323","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2020","2020","°c","1.985","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2021","2021","°c","0.045","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2022","2022","°c","0.804","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7004","April","2023","2023","°c","0.538","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7005","May","1961","1961","°c","-0.016","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7005","May","1962","1962","°c","-0.339","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7005","May","1963","1963","°c","-0.328","E","Estimated value"
